X,Y
Go,212222
Pb,23183
B%,18800
Sk,248210
hb,30383
FJ,20111
Ow,236246
Qi,242204
le,323192
l.,31427
{8,35957
LV,21947
}+,36518
cR,28835
=[,17462
xK,35114
A*,18515
"""E",9296
 i,95204
y3,35342
A%,18500
E],19868
Tn,251219
I?,20978
m/,31730
wH,34805
R/,23630
aZ,28259
{t,368237
0p,143225
^|,281261
c],28868
KJ,21611
r&,33203
_~,284267
",M",12320
&<,10469
$0,9833
RF,23699
vc,34586
q;,32966
k@,31181
a*,28115
_J,27611
Z8,26057
pq,335228
2/,14030
Jk,221210
~&,36803
4%,14600
u=,34172
|+,36218
o?,32378
Y{,266258
iT,30641
:],16568
^p,281225
L$,21797
Re,245192
Ze,269192
JX,21353
*m,125216
j~,317267
D6,19451
KZ,21659
/5,13148
8H,15905
Eq,206228
IY,21056
VV,24947
g),29912
Mu,230240
>u,185240
m!,31688
6],15368
F>,20075
H4,20645
GX,20453
0~,143267
0A,13484
y0,35333
J8,21257
{f,368195
FE,20096
yk,362210
ei,302204
+:,11963
[W,26450
{V,36047
r+,33218
?c,18086
nc,32186
",R",12335
I.,20927
ri,341204
;4,16745
ta,33980
dK,29114
XA,25484
Q$,23297
=i,182204
33,14342
|C,36290
8F,15899
Do,203222
Dz,203255
?<,17969
?D,17993
XU,25544
w@,34781
5X,15053
ip,314225
R&,23603
w>,34775
b|,293261
ZF,26099
Nj,233207
m',31706
RC,23690
Mq,230228
Iy,218252
#=,9572
`1,27836
u9,34160
kY,31256
m_,31874
}h,374201
b\,28565
RO,23726
Y],25868
+.,11927
",_",12374
~S,36938
Lo,227222
Sy,248252
H/,20630
j@,30881
gQ,30032
`3,27842
<~,179267
^0,27233
[`,26477
X3,25442
a(,28109
VD,24893
ll,323213
aI,28208
tA,33884
7%,15500
S%,23900
%i,110204
8<,15869
4v,155243
r<,33269
VE,24896
YE,25796
}k,374210
g4,29945
Yh,266201
04,13445
a ,28085
DL,19517
'Q,10832
<s,179234
Pj,239207
""":",9263
^W,27350
G',20306
]?,26978
nF,32099
